professional_key,nconst,name,multiple_profession_key,birthyear,deathyear
60268617,nm0001538,Jonny Lee Miller,169,1972,
60268618,nm0001539,Hayley Mills,2,1946,
60268619,nm0001540,Rachel Miner,733,1980,
60268620,nm0001541,Kylie Minogue,186,1968,
60268621,nm0001542,Jay Mohr,1361,1970,
60268622,nm0001543,Gretchen Mol,2,1972,
60268623,nm0001544,Ricardo Montalban,169,1920,2009
60268624,nm0001545,Dudley Moore,928,1935,2002
60268625,nm0001546,Mary Tyler Moore,1237,1936,2017
60268626,nm0001547,Agnes Moorehead,989,1900,1974
60268627,nm0001548,Rick Moranis,1361,1953,
60268628,nm0001549,Rita Moreno,1237,1931,
60268629,nm0001550,Cathy Moriarty,2,1960,
60268630,nm0001551,Alanis Morissette,186,1974,
60268631,nm0001552,Pat Morita,965,1932,2005
60268632,nm0001553,Ennio Morricone,1082,1928,2020
60268633,nm0001554,Errol Morris,51,1948,
60268634,nm0001555,Rob Morrow,514,1962,
60268635,nm0001556,David Morse,514,1953,
60268636,nm0001557,Viggo Mortensen,961,1958,
60268637,nm0001558,Mr. T,1137,1952,
60268638,nm0001559,Audie Murphy,961,1924,1971
60268639,nm0001560,Ornella Muti,734,1955,
60268640,nm0001561,Jim Nabors,961,1930,2017
60268641,nm0001562,Kathy Najimy,1237,1957,
60268642,nm0001563,Kitten Natividad,733,1948,2022
60268643,nm0001564,Bebe Neuwirth,598,1958,
60268644,nm0001565,Mike Newell,299,1942,
60268645,nm0001566,Mike Nichols,200,1931,2014
60268646,nm0001567,Connie Nielsen,620,1965,
60268647,nm0001568,Lisa Niemi,1217,1956,
60268648,nm0001569,Chuck Norris,1008,1940,
60268649,nm0001570,Edward Norton,1361,1969,
60268650,nm0001571,Kim Novak,69,1933,
60268651,nm0001572,Danny Nucci,169,1968,
60268652,nm0001573,Catherine O'Hara,620,1954,
60268653,nm0001574,Michael O'Keefe,169,1955,
60268654,nm0001575,Tatum O'Neal,1237,1963,
60268655,nm0001576,Heather O'Rourke,27,1975,1988
60268656,nm0001577,Maureen O'Sullivan,2,1911,1998
60268657,nm0001578,Annette O'Toole,678,1952,
60268658,nm0001579,Edward James Olmos,514,1947,
60268659,nm0001580,Ashley Olsen,960,1986,
60268660,nm0001581,Mary-Kate Olsen,960,1986,
60268661,nm0001582,Susan Olsen,1237,1961,
60268662,nm0001583,Jerry Orbach,1137,1935,2004
60268663,nm0001584,Miranda Otto,678,1967,
60268664,nm0001585,Kelly Packard,2,1975,
60268665,nm0001586,Joanna Pacula,27,1957,
60268666,nm0001587,Alan J. Pakula,51,1928,1998
60268667,nm0001588,Jack Palance,169,1919,2006
60268668,nm0001589,Michael Palin,965,1943,
60268669,nm0001590,Chazz Palminteri,1361,1952,
60268670,nm0001591,Bruce Paltrow,51,1943,2002
60268671,nm0001592,Joe Pantoliano,1361,1951,
60268672,nm0001593,Anna Paquin,1237,1982,
60268673,nm0001594,Anne Parillaud,598,1960,
60268674,nm0001595,Michael Paré,514,1958,
60268675,nm0001596,Pier Paolo Pasolini,1195,1922,1975
60268676,nm0001597,Mandy Patinkin,961,1952,
60268677,nm0001598,Robert Patrick,38,1958,
60268678,nm0001599,Will Patton,1137,1954,
60268679,nm0001600,Adrian Paul,514,1959,
60268680,nm0001601,David Paymer,514,1954,
60268681,nm0001602,Guy Pearce,169,1967,
60268682,nm0001603,Sam Peckinpah,51,1925,1984
60268683,nm0001604,Nia Peeples,1237,1961,
60268684,nm0001605,Amanda Peet,620,1972,
60268685,nm0001606,Chris Penn,961,1965,2006
60268686,nm0001607,Sydney Penny,249,1971,
60268687,nm0001608,Barry Pepper,276,1970,
60268688,nm0001609,Rosie Perez,1217,1964,
60268689,nm0001610,Elizabeth Perkins,733,1960,
60268690,nm0001611,Max Perlich,1140,1968,
60268691,nm0001612,Matthew Perry,1361,1969,2023
60268692,nm0001613,Bernadette Peters,2,1948,
60268693,nm0001614,Lori Petty,620,1963,
60268694,nm0001615,Elizabeth Peña,417,1959,2014
60268695,nm0001616,Mekhi Phifer,961,1974,
60268696,nm0001617,Lou Diamond Phillips,169,1962,
60268697,nm0001618,Joaquin Phoenix,1361,1974,
60268698,nm0001619,Summer Phoenix,2,1978,
60268699,nm0001620,Slim Pickens,965,1919,1983
60268700,nm0001621,Bronson Pinchot,1137,1959,
60268701,nm0001622,Danny Pintauro,506,1976,
60268702,nm0001623,Maria Pitillo,27,1966,
60268703,nm0001624,Oliver Platt,38,1960,
60268704,nm0001625,Amanda Plummer,722,1957,
60268705,nm0001626,Christopher Plummer,961,1929,2021
60268706,nm0001627,Sidney Poitier,514,1927,2022
60268707,nm0001628,Sydney Pollack,514,1934,2008
60268708,nm0001629,Kevin Pollak,1361,1957,
60268709,nm0001630,Tracy Pollan,733,1960,
60268710,nm0001631,Sarah Polley,449,1979,
60268711,nm0001632,Teri Polo,27,1969,
60268712,nm0001633,Annie Potts,1237,1952,
60268713,nm0001634,CCH Pounder,733,1952,
60268714,nm0001635,William Powell,1137,1892,1984
60268715,nm0001636,Priscilla Presley,620,1945,
60268716,nm0001637,Vincent Price,361,1911,1993
60268717,nm0001638,Jürgen Prochnow,961,1941,
60268718,nm0001639,Alex Proyas,51,1963,
60268719,nm0001640,Richard Pryor,1361,1940,2005
60268720,nm0001641,Vincent Perez,1195,1964,
60268721,nm0001642,Randy Quaid,961,1950,
60268722,nm0001643,Linnea Quigley,1237,1958,
60268723,nm0001644,Aidan Quinn,514,1959,
60268724,nm0001645,Serge Ladouceur,898,1952,
60268725,nm0001646,Ted Raimi,1195,1965,
60268726,nm0001647,Claude Rains,361,1889,1967
60268727,nm0001648,Charlotte Rampling,678,1946,
60268728,nm0001649,Anne Ramsey,27,1929,1988
60268729,nm0001650,Michael Rapaport,169,1970,
60268730,nm0001651,Basil Rathbone,965,1892,1967
60268731,nm0001652,John Ratzenberger,169,1947,
60268732,nm0001653,Stephen Rea,965,1946,
60268733,nm0001654,Ronald Reagan,511,1911,2004
60268734,nm0001655,Lynn Redgrave,2,1943,2010
60268735,nm0001656,Donna Reed,2,1921,1986
60268736,nm0001657,Oliver Reed,1137,1938,1999
60268737,nm0001658,Robert Reed,169,1932,1992
60268738,nm0001659,Christopher Reeve,1108,1952,2004
60268739,nm0001660,George Reeves,169,1914,1959
60268740,nm0001661,Rob Reiner,1361,1947,
60268741,nm0001662,Judge Reinhold,961,,
60268742,nm0001663,Paul Reiser,1361,1956,
60268743,nm0001664,James Remar,1137,1953,
60268744,nm0001665,Lee Remick,2,1935,1991
60268745,nm0001666,Debbie Reynolds,1237,1932,2016
60268746,nm0001667,Jonathan Rhys Meyers,961,1977,
60268747,nm0001668,Kim Richards,733,1964,
60268748,nm0001669,Miranda Richardson,2,1958,
60268749,nm0001670,Natasha Richardson,1237,1963,2009
60268750,nm0001671,Diana Rigg,69,1938,2020
60268751,nm0001672,Joan Rivers,620,1933,2014
60268752,nm0001673,Jason Robards,1137,1922,2000
60268753,nm0001674,Chris Rock,1361,1965,
60268754,nm0001675,Robert Rodriguez,51,1968,
60268755,nm0001676,Nicolas Roeg,1059,1928,2018
60268756,nm0001677,Ginger Rogers,2,1911,1995
60268757,nm0001678,Roy Rogers,961,1911,1998
60268758,nm0001679,Mark Rolston,1344,1956,
60268759,nm0001680,Robert Romanus,1137,1956,
60268760,nm0001681,George A. Romero,51,1940,2017
60268761,nm0001682,Mickey Rooney,961,1920,2014
60268762,nm0001683,Roseanne Barr,620,1952,
60268763,nm0001684,Katharine Ross,678,1940,
60268764,nm0001685,Rick Rossovich,33,1957,
60268765,nm0001686,Cynthia Rothrock,249,1957,
60268766,nm0001687,Gena Rowlands,1030,1930,
60268767,nm0001688,Alan Ruck,1137,1956,
60268768,nm0001689,Mercedes Ruehl,2,1948,
60268769,nm0001690,Jennifer Runyon,1237,1960,
60268770,nm0001691,Geoffrey Rush,961,1951,
60268771,nm0001692,Ken Russell,1195,1927,2011
60268772,nm0001693,Eva Marie Saint,1237,1924,
60268773,nm0001694,Meredith Salenger,989,1970,
60268774,nm0001695,George Sanders,965,1906,1972
60268775,nm0001696,Julian Sands,463,1958,2023
60268776,nm0001697,Chris Sarandon,961,1942,
60268777,nm0001698,John Savage,961,,
60268778,nm0001699,Telly Savalas,169,1922,1994
60268779,nm0001700,Nancy Savoca,51,1959,
60268780,nm0001701,Devon Sawa,514,1978,
60268781,nm0001702,Roy Scheider,961,1932,2008
60268782,nm0001703,Maximilian Schell,1195,1930,2014
60268783,nm0001704,Vincent Schiavelli,506,1948,2005
60268784,nm0001705,Rob Schneider,1361,1963,
60268785,nm0001706,Michael Schoeffling,506,1960,
60268786,nm0001707,Paul Schrader,944,1946,
60268787,nm0001708,Joel Schumacher,51,1939,2020
60268788,nm0001709,Til Schweiger,514,1963,
60268789,nm0001710,David Schwimmer,514,1966,
60268790,nm0001711,Annabella Sciorra,733,1960,
60268791,nm0001712,Tracy Scoggins,620,,
60268792,nm0001713,Izabella Scorupco,27,1970,
60268793,nm0001714,Campbell Scott,514,1961,
60268794,nm0001715,George C. Scott,514,1927,1999
60268795,nm0001716,Tony Scott,514,1944,2012
60268796,nm0001717,Kyle Secor,29,1957,
60268797,nm0001718,Kyra Sedgwick,249,1965,
60268798,nm0001719,George Segal,961,1934,2021
60268799,nm0001720,Ivan Sergei,1195,1971,
60268800,nm0001721,Chloë Sevigny,598,,
60268801,nm0001722,Rufus Sewell,1137,1967,
60268802,nm0001723,Tom Shadyac,514,1958,
60268803,nm0001724,Tony Shalhoub,961,1953,
60268804,nm0001725,Omar Sharif,965,1932,2015
60268805,nm0001726,Helen Shaver,249,1951,
60268806,nm0001727,Robert Shaw,965,1927,1978
60268807,nm0001728,Wallace Shawn,965,1943,
60268808,nm0001729,Craig Sheffer,514,1960,
60268809,nm0001730,Deborah Shelton,1245,1948,
60268810,nm0001731,Sam Shepard,965,1943,2017
60268811,nm0001732,Cybill Shepherd,1237,1950,
60268812,nm0001733,Nicollette Sheridan,1237,1963,
60268813,nm0001734,Armin Shimerman,965,1949,
60268814,nm0001735,Talia Shire,249,1946,
60268815,nm0001736,Pauly Shore,1361,1968,
60268816,nm0001737,Martin Short,1361,1950,
60268817,nm0001738,Jonathan Silverman,1108,1966,
60268818,nm0001739,Jean Simmons,2,1929,2010
60268819,nm0001740,O.J. Simpson,38,1947,
60268820,nm0001741,Bryan Singer,514,1965,
60268821,nm0001742,Lori Singer,1237,,
60268822,nm0001743,Marc Singer,169,1948,
60268823,nm0001744,Tom Sizemore,1361,1961,2023
60268824,nm0001745,Stellan Skarsgård,961,1951,
60268825,nm0001746,Ione Skye,678,1970,
60268826,nm0001747,Charles Martin Smith,1195,1953,
60268827,nm0001748,Kurtwood Smith,961,1943,
60268828,nm0001749,Maggie Smith,2,1934,
60268829,nm0001750,Madolyn Smith Osborne,27,1957,
60268830,nm0001751,Jimmy Smits,961,1955,
60268831,nm0001752,Steven Soderbergh,929,1963,
60268832,nm0001753,P.J. Soles,1237,1950,
60268833,nm0001754,Todd Solondz,1195,1959,
60268834,nm0001755,Suzanne Somers,522,1946,2023
60268835,nm0001756,Barry Sonnenfeld,929,1953,
60268836,nm0001757,Kevin Sorbo,514,1958,
60268837,nm0001758,Timothy Spall,961,1957,
60268838,nm0001759,Vincent Spano,514,,
60268839,nm0001760,Tori Spelling,960,1973,
60268840,nm0001761,Jerry Springer,1361,1944,2023
60268841,nm0001762,Jill St. John,2,1940,
60268842,nm0001763,Nick Stahl,281,1979,
60268843,nm0001764,John Stamos,961,1963,
60268844,nm0001765,Harry Dean Stanton,1137,1926,2017
60268845,nm0001766,Barbara Stanwyck,2,1907,1990
60268846,nm0001767,Imelda Staunton,2,1956,
60268847,nm0001768,Rod Steiger,1137,1925,2002
60268848,nm0001769,Howard Stern,1361,1954,
60268849,nm0001770,Fisher Stevens,514,1963,
60268850,nm0001771,Stella Stevens,598,1938,2023
60268851,nm0001772,Patrick Stewart,961,1940,
60268852,nm0001773,David Ogden Stiers,169,1942,2018
60268853,nm0001774,Ben Stiller,514,1965,
60268854,nm0001775,Whit Stillman,1195,1952,
60268855,nm0001776,Sting,495,1951,
60268856,nm0001777,Dean Stockwell,169,1936,2021
60268857,nm0001778,Matt Stone,216,1971,
60268858,nm0001779,Tom Stoppard,214,1937,
60268859,nm0001780,Peter Stormare,1361,1953,
60268860,nm0001781,Julie Strain,249,1962,2021
60268861,nm0001782,Susan Strasberg,27,1938,1999
60268862,nm0001783,Sally Struthers,406,1947,
60268863,nm0001784,Gloria Stuart,2,1910,2010
60268864,nm0001785,Kristy Swanson,1237,1969,
60268865,nm0001786,George Takei,361,1937,
60268866,nm0001787,Jeffrey Tambor,1137,1944,
60268867,nm0001788,Jessica Tandy,2,1909,1994
60268868,nm0001789,Andrei Tarkovsky,1229,1932,1986
60268869,nm0001790,Sharon Tate,2,1943,1969
60268870,nm0001791,Robert Taylor,169,1911,1969
60268871,nm0001792,Rod Taylor,1169,1930,2015
60268872,nm0001793,Heather Thomas,27,1957,
60268873,nm0001794,Henry Thomas,961,1971,
60268874,nm0001795,Jonathan Taylor Thomas,169,1981,
60268875,nm0001796,Richard Thomas,514,1951,
60268876,nm0001797,Rachel Ticotin,734,1958,
60268877,nm0001798,Kevin Tighe,117,1944,
60268878,nm0001799,John Toll,898,1952,
60268879,nm0001800,Rip Torn,169,1931,2019
60268880,nm0001801,Robert Towne,1361,1934,
60268881,nm0001802,Nancy Travis,1237,1961,
60268882,nm0001803,Danny Trejo,961,1944,
60268883,nm0001804,Stanley Tucci,961,1960,
60268884,nm0001805,Lana Turner,1237,1921,1995
60268885,nm0001806,John Turturro,1361,1957,
60268886,nm0001807,Cicely Tyson,1237,1924,2021
60268887,nm0001808,Tracey Ullman,620,1959,
60268888,nm0001809,Jay Underwood,506,1968,
60268889,nm0001810,Robert Urich,961,1946,2002
60268890,nm0001811,Peter Ustinov,1195,1921,2004
60268891,nm0001812,Lee Van Cleef,1137,1925,1989
60268892,nm0001813,Dick Van Dyke,961,1925,
60268893,nm0001814,Gus Van Sant,514,1952,
60268894,nm0001815,Jim Varney,965,1949,2000
60268895,nm0001816,Robert Vaughn,29,1932,2016
60268896,nm0001817,Reginald VelJohnson,965,1952,
60268897,nm0001818,Jesse Ventura,961,1951,
60268898,nm0001819,Petra Verkaik,462,1966,
60268899,nm0001820,Abe Vigoda,506,1921,2016
60268900,nm0001821,Jan-Michael Vincent,961,1945,2019
60268901,nm0001822,Robert Wagner,961,1930,
60268902,nm0001823,Tom Waits,495,1949,
60268903,nm0001824,Ally Walker,620,1961,
60268904,nm0001825,Andrew Kevin Walker,1361,1964,
60268905,nm0001826,M. Emmet Walsh,961,1935,
60268906,nm0001827,Ray Walston,1137,1914,2001
60268907,nm0001828,Melora Walters,449,1960,
60268908,nm0001829,Rachel Ward,449,1957,
60268909,nm0001830,Sophie Ward,2,1964,
60268910,nm0001831,David Warner,961,1941,2022
60268911,nm0001832,Sam Waterston,514,1940,
60268912,nm0001833,Emily Watson,1237,1967,
60268913,nm0001834,Damon Wayans,1361,1960,
60268914,nm0001835,Carl Weathers,169,1948,2024
60268915,nm0001836,Steven Weber,961,1961,
60268916,nm0001837,Peter Weir,51,1944,
60268917,nm0001838,Rachel Weisz,1237,1970,
60268918,nm0001839,Tuesday Weld,2,1943,
60268919,nm0001840,Ming-Na Wen,2,1963,
60268920,nm0001841,George Wendt,169,1948,
60268921,nm0001842,Adam West,169,1928,2017
60268922,nm0001843,James Whale,36,1889,1957
60268923,nm0001844,Frank Whaley,1195,1963,
60268924,nm0001845,Forest Whitaker,514,1961,
60268925,nm0001846,Vanna White,733,1957,
60268926,nm0001847,Richard Widmark,961,1914,2008
60268927,nm0001848,Dianne Wiest,2,1946,
60268928,nm0001849,Kathleen Wilhoite,406,1964,
60268929,nm0001850,Billy Dee Williams,965,1937,
60268930,nm0001851,JoBeth Williams,1237,1948,
60268931,nm0001852,Treat Williams,169,1951,2023
60268932,nm0001853,Vanessa Williams,1237,1963,
60268933,nm0001854,Rita Wilson,1237,1956,
60268934,nm0001855,Tom Wilson,965,1959,
60268935,nm0001856,Oprah Winfrey,462,1954,
60268936,nm0001857,Henry Winkler,1361,1945,
60268937,nm0001858,Mare Winningham,2,1959,
60268938,nm0001859,Shelley Winters,1237,1920,2006
60268939,nm0001860,Alicia Witt,406,1975,
60268940,nm0001861,Katarina Witt,1237,1965,
60268941,nm0001862,Mary Woronov,449,1943,
60268942,nm0001863,Kari Wuhrer,1237,1967,
60268943,nm0001864,Noah Wyle,514,1971,
60268944,nm0001865,Amy Yasbeck,27,1962,
60268945,nm0001866,Bolo Yeung,117,1946,
60268946,nm0001867,Amy Yip,27,1965,
60268947,nm0001868,Michael York,961,1942,
60268948,nm0001869,Tina Yothers,2,1973,
60268949,nm0001870,Robert Young,961,1907,1998
60268950,nm0001871,Pia Zadora,2,1954,
60268951,nm0001872,Steve Zahn,961,1967,
60268952,nm0001873,Steven Zaillian,51,1953,
60268953,nm0001874,Franco Zeffirelli,1211,1923,2019
60268954,nm0001875,Anthony Zerbe,506,1936,
60268955,nm0001876,Catherine Zeta-Jones,2,1969,
60268956,nm0001877,Hans Zimmer,1082,1957,
60268957,nm0001878,David Zucker,51,1947,
60268958,nm0001879,Daphne Zuniga,1237,1962,
60268959,nm0001880,Edward Zwick,51,1952,
60268960,nm0001881,Maryam d'Abo,249,1960,
60268961,nm0001882,Olivia d'Abo,406,1969,
60268962,nm0001883,Jenna von Oÿ,620,1977,
60268963,nm0001884,Max von Sydow,361,1929,2020
60268964,nm0001885,Lars von Trier,51,1956,
60268965,nm0001886,Howard Ross,506,1941,
60268966,nm0001887,Paul Brickman,51,1949,
60268967,nm0001888,Robert Douglas,514,1909,1999
60268968,nm0001889,Charles Hawtrey,169,1914,1988
60268969,nm0001890,Hugh Herbert,965,1884,1952
60268970,nm0001891,Anthony Higgins,1137,1947,
60268971,nm0001892,Steve Rice,187,,
60268972,nm0001893,John Archer,506,1915,1999
60268973,nm0001894,Danny Dayton,169,1923,1999
60268974,nm0001895,Glenn Miller,1169,1904,1944
60268975,nm0001896,John W. Brown,546,1882,1949
60268976,nm0001897,John M. Davis,738,,
60268977,nm0001898,Bryan Adams,495,1959,
60268978,nm0001899,Remi Adefarasin,1010,1948,
60268979,nm0001900,Danny Aiello III,1350,1957,2010
60268980,nm0001901,Chantal Akerman,449,1950,2015
60268981,nm0001902,Edward Albert,361,1951,2006
60268982,nm0001903,Norma Aleandro,722,1936,
60268983,nm0001904,Corey Allen,1195,1934,2010
60268984,nm0001905,Yves Allégret,105,1905,1987
60268985,nm0001906,Kirk Alyn,506,1910,1999
60268986,nm0001907,Eric Ambler,51,1909,1998
60268987,nm0001908,Gilbert M. 'Broncho Billy' Anderson,514,1880,1971
60268988,nm0001909,Björn Andrésen,1137,1955,
60268989,nm0001910,Kenneth Anger,1142,1927,2023
60268990,nm0001911,Philip Anglim,506,1952,
60268991,nm0001912,Paul Anka,588,1941,
60268992,nm0001913,Little Oral Annie,27,1960,
60268993,nm0001914,Adam Ant,588,1954,
60268994,nm0001915,Emile Ardolino,200,1943,1993
60268995,nm0001916,Arletty,2,1898,1992
60268996,nm0001917,Pedro Armendáriz Jr.,961,1940,2011
60268997,nm0001918,Louis Armstrong,495,1901,1971
60268998,nm0001919,Peggy Ashcroft,27,1907,1991
60268999,nm0001920,Isaac Asimov,699,1920,1992
60269000,nm0001921,Paul Attanasio,214,1959,
60269001,nm0001922,Jean-Pierre Aumont,965,1911,2001
60269002,nm0001923,Margaret Avery,1237,1944,
60269003,nm0001924,Hoyt Axton,1169,1938,1999
60269004,nm0001925,Johann Sebastian Bach,1082,1685,1750
60269005,nm0001926,Joan Baez,406,1941,
60269006,nm0001927,Josephine Baker,406,1906,1975
60269007,nm0001928,Roy Ward Baker,61,1916,2010
60269008,nm0001929,Josiane Balasko,449,1950,
60269009,nm0001930,Russell Banks,1361,1940,2023
60269010,nm0001931,Binnie Barnes,1237,1903,1998
60269011,nm0001932,Richard Barthelmess,961,1895,1963
60269012,nm0001933,Geoffrey Bayldon,506,1924,2017
60269013,nm0001934,Kabir Bedi,1012,1946,
60269014,nm0001935,Noah Beery,1137,1882,1946
60269015,nm0001936,Roxanne Blaze,27,1974,
60269016,nm0001937,Marco Beltrami,1082,1966,
60269017,nm0001938,Richard Belzer,1361,1944,2023
60269018,nm0001939,Maurice Benard,1137,1963,
60269019,nm0001940,Peter Benchley,1361,1940,2006
60269020,nm0001941,Iris Berben,2,1950,
60269021,nm0001942,Luca Bercovici,1361,,
60269022,nm0001943,Marisa Berenson,2,1947,
60269023,nm0001944,Edgar Bergen,965,1903,1978
60269024,nm0001945,Claude Berri,1361,1934,2009
60269025,nm0001946,Chuck Berry,652,1926,2017
60269026,nm0001947,Turhan Bey,38,1922,2012
60269027,nm0001948,Charles Bickford,1137,1891,1967
60269028,nm0001949,Andrew Birkin,1229,1945,
60269029,nm0001950,Steve Bisley,506,1951,
60269030,nm0001951,Björk,1223,1965,
60269031,nm0001952,Rubén Blades,588,1948,
60269032,nm0001953,Moritz Bleibtreu,514,1971,
60269033,nm0001954,Claire Bloom,27,1931,
60269034,nm0001955,Ann Blyth,2,1928,
60269035,nm0001956,John Wayne Bobbitt,506,1967,
60269036,nm0001957,Lloyd Bochner,506,1924,2005
60269037,nm0001958,Dirk Bogarde,965,1921,1999
60269038,nm0001959,Corinne Bohrer,27,1958,
60269039,nm0001960,Romane Bohringer,449,1973,
60269040,nm0001961,Ray Bolger,1137,1904,1987
60269041,nm0001962,Lizzie Borden,51,1958,
60269042,nm0001963,Jesse Borrego,961,1962,
60269043,nm0001964,Rob Bottin,129,1959,
60269044,nm0001965,Élodie Bouchez,1237,1973,
60269045,nm0001966,Clara Bow,406,1905,1965
60269046,nm0001967,Peter Boyle,1137,1935,2006
60269047,nm0001968,Elizabeth Bracco,896,1957,
60269048,nm0001969,Ray Bradbury,1361,1920,2012
60269049,nm0001970,Klaus Maria Brandauer,169,1943,
60269050,nm0001971,Ewen Bremner,961,1972,
60269051,nm0001972,Richard Briers,1137,1934,2013
60269052,nm0001973,Christie Brinkley,2,1954,
60269053,nm0001974,Blair Brown,598,1946,
60269054,nm0001975,Roscoe Lee Browne,1137,1922,2007
60269055,nm0001976,Horst Buchholz,1140,1933,2003
60269056,nm0001977,Charles Bukowski,965,1920,1994
60269057,nm0001978,Emma Bunton,2,1976,
60269058,nm0001979,Tom Burlinson,1169,1956,
60269059,nm0001980,Carter Burwell,1082,1954,
60269060,nm0001981,Spring Byington,989,1886,1971
60269061,nm0001982,Sebastian Cabot,1137,1918,1977
60269062,nm0001983,Rory Calhoun,1361,1922,1999
60269063,nm0001984,Naomi Campbell,1237,1970,
60269064,nm0001985,Christy Canyon,734,1966,
60269065,nm0001986,Truman Capote,965,1924,1984
60269066,nm0001987,Tantoo Cardinal,249,1950,
60269067,nm0001988,Marc Caro,1195,1956,
60269068,nm0001989,Leslie Caron,989,1931,
60269069,nm0001990,Elpidia Carrillo,249,1961,
60269070,nm0001991,Leo G. Carroll,506,1886,1972
60269071,nm0001992,Johnny Carson,965,1925,2005
60269072,nm0001993,Vincent Cassel,961,1966,
60269073,nm0001994,Michael Caton-Jones,514,1957,
60269074,nm0001995,George Chakiris,361,1932,
60269075,nm0001996,Jeff Chandler,961,1918,1961
60269076,nm0001997,Patricia Charbonneau,1237,1959,
60269077,nm0001998,Cyd Charisse,2,1922,2008
60269078,nm0001999,Maury Chaykin,1231,1949,2010
60269079,nm0002000,Leslie Cheung,1169,1956,2003
60269080,nm0002001,Maurice Chevalier,965,1888,1972
60269081,nm0002002,Shin'ichi Chiba,66,1939,2021
60269082,nm0002003,David Chokachi,38,1968,
60269083,nm0002004,Sarita Choudhury,733,1966,
60269084,nm0002005,Agatha Christie,582,1890,1976
60269085,nm0002006,Thomas Haden Church,1108,1960,
60269086,nm0002007,Tom Clancy,1361,1947,2013
60269087,nm0002008,Eric Clapton,1223,1945,
60269088,nm0002009,Arthur C. Clarke,714,1917,2008
60269089,nm0002010,Christian Clavier,1361,1952,
60269090,nm0002011,Lee J. Cobb,169,1911,1976
60269091,nm0002012,Randall 'Tex' Cobb,506,1950,
60269092,nm0002013,Charles Coburn,1137,1877,1961
60269093,nm0002014,Iron Eyes Cody,1260,1907,1999
60269094,nm0002015,Phil Collins,495,1951,
60269095,nm0002016,William Conrad,514,1920,1994
60269096,nm0002017,Richard Conte,169,1910,1975
60269097,nm0002018,Tom Conti,361,1941,
60269098,nm0002019,Kevin Corcoran,281,1949,2015
60269099,nm0002020,Costa-Gavras,51,1933,
60269100,nm0002021,Noël Coward,965,1899,1973
60269101,nm0002022,Jeanne Crain,2,1925,2003
60269102,nm0002023,Matt Craven,38,1956,
60269103,nm0002024,Broderick Crawford,961,1911,1986
60269104,nm0002025,Hume Cronyn,1361,1911,2003
60269105,nm0002026,Mary Crosby,2,1959,
60269106,nm0002027,Ben Cross,38,1947,2020
60269107,nm0002028,Sheryl Crow,186,1962,
60269108,nm0002029,Maria Grazia Cucinotta,249,1968,
60269109,nm0002030,George Cukor,61,1899,1983
60269110,nm0002031,Michael Curtiz,1195,1886,1962
60269111,nm0002032,Roger Daltrey,495,1944,
60269112,nm0002033,Tyne Daly,678,1946,
60269113,nm0002034,Jane Darwell,27,1879,1967
60269114,nm0002035,Sammy Davis Jr.,961,1925,1990
60269115,nm0002036,Ann B. Davis,2,1926,2014
60269116,nm0002037,Cliff De Young,1137,1945,
60269117,nm0002038,Gloria DeHaven,2,1925,2016
60269118,nm0002039,Ruby Dee,678,1922,2014
60269119,nm0002040,Vanessa del Rio,1217,1952,
60269120,nm0002041,Dean Devlin,1361,1962,
60269121,nm0002042,Charles Dickens,850,1812,1870
60269122,nm0002043,Madhuri Dixit,406,1967,
60269123,nm0002044,Roger Donaldson,51,1945,
60269124,nm0002045,Stanley Donen,200,1924,2019
60269125,nm0002046,Brian Donlevy,961,1901,1972
60269126,nm0002047,Diana Dors,678,1931,1984
60269127,nm0002048,Melvyn Douglas,1137,1901,1981
60269128,nm0002049,Robert Downey Sr.,1195,1936,2021
60269129,nm0002050,Irene Dunne,2,1898,1990
60269130,nm0002051,Jimmy Durante,1169,1893,1980
60269131,nm0002052,Deanna Durbin,2,1921,2013
60269132,nm0002053,Dan Duryea,1137,1907,1968
60269133,nm0002054,Sheena Easton,2,1959,
60269134,nm0002055,Alison Eastwood,620,1972,
60269135,nm0002056,Christine Ebersole,2,1953,
60269136,nm0002057,Richard Edson,662,1954,
60269137,nm0002058,Samantha Eggar,2,1939,
60269138,nm0002059,Lisa Eichhorn,620,1952,
60269139,nm0002060,Lisa Eilbacher,27,1956,
60269140,nm0002061,Maurice Elvey,51,1887,1967
60269141,nm0002062,Kathryn Erbe,734,1965,
60269142,nm0002063,Leif Erickson,1137,1911,1986
60269143,nm0002064,Giancarlo Esposito,1008,1958,
60269144,nm0002065,Gloria Estefan,652,1957,
60269145,nm0002066,Ramon Estevez,1361,1963,
60269146,nm0002067,Linda Evans,2,1942,
60269147,nm0002068,Frances Farmer,678,1913,1970
60269148,nm0002069,Mimsy Farmer,243,1945,
60269149,nm0002070,Richard Farnsworth,212,1920,2000
60269150,nm0002071,Will Ferrell,961,1967,
60269151,nm0002072,Mel Ferrer,217,1917,2008
60269152,nm0002073,Lou Ferrigno,1108,1951,
60269153,nm0002074,Sally Fields,1153,,
60269154,nm0002075,Peter Finch,1195,1916,1977
60269155,nm0002076,Jason Flemyng,961,1966,
60269156,nm0002077,Dexter Fletcher,514,1966,
60269157,nm0002078,Frederic Forrest,506,1936,2023
60269158,nm0002079,Steve Forrest,1137,1925,2013
60269159,nm0002080,Bob Fosse,361,1927,1987
60269160,nm0002081,Edward Fox,1108,1937,
