professional_key,nconst,name,multiple_profession_key,birthyear,deathyear
60267202,nm0000122,Charles Chaplin,965,1889,1977
60267203,nm0000123,George Clooney,514,1961,
60267204,nm0000124,Jennifer Connelly,733,1970,
60267205,nm0000125,Sean Connery,961,1930,2020
60267206,nm0000126,Kevin Costner,961,1955,
60267207,nm0000127,Wes Craven,51,1939,2015
60267208,nm0000128,Russell Crowe,961,1964,
60267209,nm0000129,Tom Cruise,961,1962,
60267210,nm0000130,Jamie Lee Curtis,249,1958,
60267211,nm0000131,John Cusack,1361,1966,
60267212,nm0000132,Claire Danes,1237,1979,
60267213,nm0000133,Geena Davis,1237,1956,
60267214,nm0000134,Robert De Niro,961,1943,
60267215,nm0000135,John Denver,652,1943,1997
60267216,nm0000136,Johnny Depp,961,1963,
60267217,nm0000137,Bo Derek,1354,1956,
60267218,nm0000138,Leonardo DiCaprio,961,1974,
60267219,nm0000139,Cameron Diaz,1237,1972,
60267220,nm0000140,Michael Douglas,961,1944,
60267221,nm0000141,David Duchovny,514,1960,
60267222,nm0000142,Clint Eastwood,514,1930,
60267223,nm0000143,Erika Eleniak,27,1969,
60267224,nm0000144,Cary Elwes,961,1962,
60267225,nm0000145,Sherilyn Fenn,2,1965,
60267226,nm0000146,Ralph Fiennes,514,1962,
60267227,nm0000147,Colin Firth,961,1960,
60267228,nm0000148,Harrison Ford,1361,1942,
60267229,nm0000149,Jodie Foster,249,1962,
60267230,nm0000150,Michael J. Fox,1108,1961,
60267231,nm0000151,Morgan Freeman,961,1937,
60267232,nm0000152,Richard Gere,961,1949,
60267233,nm0000153,Gina Gershon,1237,1962,
60267234,nm0000154,Mel Gibson,514,1956,
60267235,nm0000155,Whoopi Goldberg,620,1955,
60267236,nm0000156,Jeff Goldblum,961,1952,
60267237,nm0000157,Linda Hamilton,2,1956,
60267238,nm0000158,Tom Hanks,961,1956,
60267239,nm0000159,Teri Hatcher,678,1964,
60267240,nm0000160,Ethan Hawke,1361,1970,
60267241,nm0000161,Salma Hayek,1237,1966,
60267242,nm0000162,Anne Heche,620,1969,2022
60267243,nm0000163,Dustin Hoffman,961,1937,
60267244,nm0000164,Anthony Hopkins,588,1937,
60267245,nm0000165,Ron Howard,1361,1954,
60267246,nm0000166,Helen Hunt,249,1963,
60267247,nm0000167,Elizabeth Hurley,733,1965,
60267248,nm0000168,Samuel L. Jackson,961,1948,
60267249,nm0000169,Tommy Lee Jones,169,1946,
60267250,nm0000170,Milla Jovovich,1237,1975,
60267251,nm0000171,Ashley Judd,249,1968,
60267252,nm0000172,Harvey Keitel,961,1939,
60267253,nm0000173,Nicole Kidman,1237,1967,
60267254,nm0000174,Val Kilmer,961,1959,
60267255,nm0000175,Stephen King,1361,1947,
60267256,nm0000176,Nastassja Kinski,1237,1961,
60267257,nm0000177,Kevin Kline,169,1947,
60267258,nm0000178,Diane Lane,2,1965,
60267259,nm0000179,Jude Law,961,1972,
60267260,nm0000180,David Lean,1142,1908,1991
60267261,nm0000181,Heather Locklear,1237,1961,
60267262,nm0000182,Jennifer Lopez,475,1969,
60267263,nm0000183,Traci Lords,1237,1968,
60267264,nm0000184,George Lucas,51,1944,
60267265,nm0000185,Dolph Lundgren,514,1957,
60267266,nm0000186,David Lynch,51,1946,
60267267,nm0000187,Madonna,186,1958,
60267268,nm0000188,Steve Martin,1361,1945,
60267269,nm0000189,Jenny McCarthy-Wahlberg,620,1972,
60267270,nm0000190,Matthew McConaughey,961,1969,
60267271,nm0000191,Ewan McGregor,1361,1971,
60267272,nm0000192,Alyssa Milano,1237,1972,
60267273,nm0000193,Demi Moore,1237,1962,
60267274,nm0000194,Julianne Moore,1237,1960,
60267275,nm0000195,Bill Murray,965,1950,
60267276,nm0000196,Mike Myers,965,1963,
60267277,nm0000197,Jack Nicholson,961,1937,
60267278,nm0000198,Gary Oldman,961,1958,
60267279,nm0000199,Al Pacino,169,1940,
60267280,nm0000200,Bill Paxton,1361,1955,2017
60267281,nm0000201,Michelle Pfeiffer,1237,1958,
60267282,nm0000202,Ryan Phillippe,514,1974,
60267283,nm0000203,River Phoenix,1137,1970,1993
60267284,nm0000204,Natalie Portman,1237,1981,
60267285,nm0000205,Parker Posey,1237,1968,
60267286,nm0000206,Keanu Reeves,961,1964,
60267287,nm0000207,Christina Ricci,1237,1980,
60267288,nm0000208,Molly Ringwald,406,1968,
60267289,nm0000209,Tim Robbins,514,1958,
60267290,nm0000210,Julia Roberts,1237,1967,
60267291,nm0000211,Mimi Rogers,1237,1956,
60267292,nm0000212,Meg Ryan,249,1961,
60267293,nm0000213,Winona Ryder,1237,1971,
60267294,nm0000214,Mia Sara,2,1967,
60267295,nm0000215,Susan Sarandon,1237,1946,
60267296,nm0000216,Arnold Schwarzenegger,514,1947,
60267297,nm0000217,Martin Scorsese,514,1942,
60267298,nm0000218,Kristin Scott Thomas,678,1960,
60267299,nm0000219,Steven Seagal,1361,1952,
60267300,nm0000220,Joan Severance,462,1958,
60267301,nm0000221,Charlie Sheen,961,1965,
60267302,nm0000222,Brooke Shields,1237,1965,
60267303,nm0000223,Elisabeth Shue,1237,1963,
60267304,nm0000224,Alicia Silverstone,1237,1976,
60267305,nm0000225,Christian Slater,961,1969,
60267306,nm0000226,Will Smith,961,1968,
60267307,nm0000227,Mira Sorvino,1237,1967,
60267308,nm0000228,Kevin Spacey,961,1959,
60267309,nm0000229,Steven Spielberg,51,1946,
60267310,nm0000230,Sylvester Stallone,1361,1946,
60267311,nm0000231,Oliver Stone,51,1946,
60267312,nm0000232,Sharon Stone,1237,1958,
60267313,nm0000233,Quentin Tarantino,1361,1963,
60267314,nm0000234,Charlize Theron,1237,1975,
60267315,nm0000235,Uma Thurman,1237,1970,
60267316,nm0000236,Jennifer Tilly,678,1958,
60267317,nm0000237,John Travolta,961,1954,
60267318,nm0000238,Shannon Tweed,462,1957,
60267319,nm0000239,Liv Tyler,1237,1977,
60267320,nm0000240,Skeet Ulrich,169,1970,
60267321,nm0000241,Jean-Claude Van Damme,1361,1960,
60267322,nm0000242,Mark Wahlberg,961,1971,
60267323,nm0000243,Denzel Washington,514,1954,
60267324,nm0000244,Sigourney Weaver,1237,1949,
60267325,nm0000245,Robin Williams,965,1951,2014
60267326,nm0000246,Bruce Willis,961,1955,
60267327,nm0000247,John Woo,51,1946,
60267328,nm0000248,Edward D. Wood Jr.,1195,1924,1978
60267329,nm0000249,James Woods,514,1947,
60267330,nm0000250,Renée Zellweger,1237,1969,
60267331,nm0000251,Timothy Dowling,1197,1973,
60267332,nm0000252,Robert Ellis,1195,1892,1974
60267333,nm0000253,Robert Ellis,194,1888,1935
60267334,nm0000254,Isabelle Adjani,1237,1955,
60267335,nm0000255,Ben Affleck,1361,1972,
60267336,nm0000256,Jenny Agutter,2,1952,
60267337,nm0000257,Alan Alda,361,1936,
60267338,nm0000258,Stephanie Zimbalist,722,1956,
60267339,nm0000259,Ginger Lynn,449,1962,
60267340,nm0000260,Joan Allen,1237,1956,
60267341,nm0000261,Karen Allen,598,1951,
60267342,nm0000262,Nancy Allen,2,1950,
60267343,nm0000263,Kirstie Alley,620,1951,2022
60267344,nm0000264,Pedro Almodóvar,944,1949,
60267345,nm0000265,Robert Altman,51,1925,2006
60267346,nm0000266,Ursula Andress,2,1936,
60267347,nm0000267,Julie Andrews,678,1935,
60267348,nm0000268,Ann-Margret,2,1941,
60267349,nm0000269,Jean-Jacques Annaud,51,1943,
60267350,nm0000270,Gabrielle Anwar,1237,1970,
60267351,nm0000271,Anne Archer,1237,1947,
60267352,nm0000272,Fanny Ardant,449,1949,
60267353,nm0000273,Alan Arkin,169,1934,2023
60267354,nm0000274,David Arquette,514,1971,
60267355,nm0000275,Rosanna Arquette,249,1959,
60267356,nm0000276,Sean Astin,514,1971,
60267357,nm0000277,Richard Attenborough,514,1923,2014
60267358,nm0000278,Pernilla August,449,1958,
60267359,nm0000279,Hank Azaria,961,1964,
60267360,nm0000280,Catherine Bach,2,1954,
60267361,nm0000281,Scott Baio,514,1960,
60267362,nm0000282,Scott Bairstow,506,1970,
60267363,nm0000283,Brenda Bakke,27,1963,
60267364,nm0000284,Adam Baldwin,1137,1962,
60267365,nm0000285,Alec Baldwin,961,1958,
60267366,nm0000286,Stephen Baldwin,514,1966,
60267367,nm0000287,William Baldwin,222,1963,
60267368,nm0000288,Christian Bale,961,1974,
60267369,nm0000289,Ellen Barkin,733,1954,
60267370,nm0000290,John Barry,1082,1933,2011
60267371,nm0000291,Angela Bassett,249,1958,
60267372,nm0000292,Michelle Bauer,71,1958,
60267373,nm0000293,Sean Bean,486,1959,
60267374,nm0000294,Amanda Bearse,249,1958,
60267375,nm0000295,Kate Beckinsale,1237,1973,
60267376,nm0000296,Robert Beltran,1137,1953,
60267377,nm0000297,Tom Berenger,1361,1949,
60267378,nm0000298,Candice Bergen,1237,1946,
60267379,nm0000299,Michael Biehn,514,1956,
60267380,nm0000300,Juliette Binoche,676,1964,
60267381,nm0000301,Thora Birch,249,1982,
60267382,nm0000302,Jacqueline Bisset,1237,1944,
60267383,nm0000303,Honor Blackman,2,1925,2020
60267384,nm0000304,Linda Blair,1237,1959,
60267385,nm0000305,Mel Blanc,1169,1908,1989
60267386,nm0000306,Brian Blessed,169,1936,
60267387,nm0000307,Helena Bonham Carter,598,1966,
60267388,nm0000308,Ernest Borgnine,961,1917,2012
60267389,nm0000309,David Bowie,495,1947,2016
60267390,nm0000310,Bruce Boxleitner,961,1950,
60267391,nm0000311,Annie Rosar,2,1888,1963
60267392,nm0000312,Amy Brenneman,620,1964,
60267393,nm0000313,Jeff Bridges,961,1949,
60267394,nm0000314,Charles Bronson,506,1921,2003
60267395,nm0000315,Louise Brooks,2,1906,1985
60267396,nm0000316,Mel Brooks,965,1926,
60267397,nm0000317,Clancy Brown,961,1959,
60267398,nm0000318,Tim Burton,200,1958,
60267399,nm0000319,Yancy Butler,733,1970,
60267400,nm0000320,Luis Buñuel,1195,1900,1983
60267401,nm0000321,Gabriel Byrne,1361,1950,
60267402,nm0000322,Emmanuelle Béart,2,1963,
60267403,nm0000323,Michael Caine,961,1933,
60267404,nm0000324,Barbara Carrera,2,1945,
60267405,nm0000325,David Caruso,38,1956,
60267406,nm0000326,Kim Cattrall,1237,1956,
60267407,nm0000327,Lacey Chabert,1237,1982,
60267408,nm0000328,Richard Chamberlain,961,1934,
60267409,nm0000329,Jackie Chan,222,1954,
60267410,nm0000330,Stockard Channing,2,1944,
60267411,nm0000331,Chevy Chase,965,1943,
60267412,nm0000332,Don Cheadle,961,1964,
60267413,nm0000333,Cher,186,1946,
60267414,nm0000334,Chow Yun-Fat,965,1955,
60267415,nm0000335,Glenn Close,1237,1947,
60267416,nm0000336,James Coburn,514,1928,2002
60267417,nm0000337,Rachael Leigh Cook,620,1979,
60267418,nm0000338,Francis Ford Coppola,51,1939,
60267419,nm0000339,Roger Corman,514,1926,
60267420,nm0000340,Cindy Crawford,1237,1966,
60267421,nm0000341,Michael Crichton,51,1942,2008
60267422,nm0000342,James Cromwell,961,1940,
60267423,nm0000343,David Cronenberg,1195,1943,
60267424,nm0000344,Denise Crosby,733,,
60267425,nm0000345,Billy Crystal,1361,1948,
60267426,nm0000346,Macaulay Culkin,514,1980,
60267427,nm0000347,Tim Curry,961,1946,
60267428,nm0000348,Tony Curtis,961,1925,2010
60267429,nm0000349,Joan Cusack,678,1962,
60267430,nm0000350,Beverly D'Angelo,1237,1951,
60267431,nm0000351,Donna D'Errico,249,1968,
60267432,nm0000352,Vincent D'Onofrio,961,1959,
60267433,nm0000353,Willem Dafoe,961,1955,
60267434,nm0000354,Matt Damon,961,1970,
60267435,nm0000355,Anthony Daniels,1361,1946,
60267436,nm0000356,Sybil Danning,620,,
60267437,nm0000357,Lolita Davidovich,27,1961,
60267438,nm0000358,Daniel Day-Lewis,1169,1957,
60267439,nm0000359,Olivier De Funès,965,1949,
60267440,nm0000360,Rebecca De Mornay,1237,1959,
60267441,nm0000361,Brian De Palma,51,1940,
60267442,nm0000362,Danny DeVito,514,1944,
60267443,nm0000363,Loren Dean,1137,1969,
60267444,nm0000364,Sandra Dee,2,1942,2005
60267445,nm0000365,Julie Delpy,620,1969,
60267446,nm0000366,Catherine Deneuve,1237,1943,
60267447,nm0000367,Gérard Depardieu,961,1948,
60267448,nm0000368,Laura Dern,620,1967,
60267449,nm0000369,Matt Dillon,514,1964,
60267450,nm0000370,Walt Disney,1108,1901,1966
60267451,nm0000371,Ami Dolenz,462,1969,
60267452,nm0000372,Amanda Donohoe,733,1962,
60267453,nm0000373,Michael Dorn,169,1952,
60267454,nm0000374,Brad Dourif,506,1950,
60267455,nm0000375,Robert Downey Jr.,961,1965,
60267456,nm0000376,Fran Drescher,620,1957,
60267457,nm0000377,Richard Dreyfuss,961,1947,
60267458,nm0000378,Minnie Driver,1237,1970,
60267459,nm0000379,Kirsten Dunst,1237,1982,
60267460,nm0000380,Robert Duvall,961,1931,
60267461,nm0000381,Anthony Edwards,514,1962,
60267462,nm0000382,Atom Egoyan,51,1960,
60267463,nm0000383,Jennifer Ehle,27,1969,
60267464,nm0000384,Danny Elfman,1082,1953,
60267465,nm0000385,Sam Elliott,961,1944,
60267466,nm0000386,Roland Emmerich,51,1955,
60267467,nm0000387,Robert Englund,361,1947,
60267468,nm0000388,R. Lee Ermey,1108,1944,2018
60267469,nm0000389,Emilio Estevez,514,1962,
60267470,nm0000390,Joe Eszterhas,1283,1944,
60267471,nm0000391,Rupert Everett,961,1959,
60267472,nm0000392,Morgan Fairchild,1237,1950,
60267473,nm0000393,Peter Falk,961,1927,2011
60267474,nm0000394,Chris Farley,212,1964,1997
60267475,nm0000395,Terry Farrell,2,1963,
60267476,nm0000396,Farrah Fawcett,1237,1947,2009
60267477,nm0000397,Corey Feldman,961,,
60267478,nm0000398,Sally Field,1237,1946,
60267479,nm0000399,David Fincher,51,1962,
60267480,nm0000400,Linda Fiorentino,2,1958,
60267481,nm0000401,Laurence Fishburne,514,1961,
60267482,nm0000402,Carrie Fisher,989,1956,2016
60267483,nm0000403,Bridget Fonda,2,1964,
60267484,nm0000404,Jane Fonda,1237,1937,
60267485,nm0000405,Michelle Forbes,27,1965,
60267486,nm0000406,John Ford,514,1894,1973
60267487,nm0000407,Vivica A. Fox,249,1964,
60267488,nm0000408,Jonathan Frakes,514,1952,
60267489,nm0000409,Brendan Fraser,961,1968,
60267490,nm0000410,Stephen Fry,1361,1957,
60267491,nm0000411,Edward Furlong,961,1977,
60267492,nm0000412,Andy Garcia,961,1956,
60267493,nm0000413,Janeane Garofalo,620,1964,
60267494,nm0000414,Teri Garr,989,1947,
60267495,nm0000415,Jami Gertz,633,1965,
60267496,nm0000416,Terry Gilliam,184,1940,
60267497,nm0000417,Crispin Glover,961,1964,
60267498,nm0000418,Danny Glover,514,1946,
60267499,nm0000419,Jean-Luc Godard,1142,1930,2022
60267500,nm0000420,Valeria Golino,249,1965,
60267501,nm0000421,Cuba Gooding Jr.,965,1968,
60267502,nm0000422,John Goodman,961,1952,
60267503,nm0000423,Serena Grandi,27,1958,
60267504,nm0000424,Hugh Grant,1137,1960,
60267505,nm0000425,Peter Greenaway,1142,1942,
60267506,nm0000426,Jennifer Grey,1237,1960,
60267507,nm0000427,Pam Grier,678,1949,
60267508,nm0000428,D.W. Griffith,51,1875,1948
60267509,nm0000429,Melanie Griffith,733,1957,
60267510,nm0000430,Steve Guttenberg,961,1958,
60267511,nm0000431,Taylor Hackford,51,1944,
60267512,nm0000432,Gene Hackman,961,1930,
60267513,nm0000433,Corey Haim,961,1971,2010
60267514,nm0000434,Mark Hamill,961,,
60267515,nm0000435,Daryl Hannah,249,1960,
60267516,nm0000436,Curtis Hanson,51,1945,2016
60267517,nm0000437,Woody Harrelson,961,1961,
60267518,nm0000438,Ed Harris,514,1950,
60267519,nm0000439,Neil Patrick Harris,961,1973,
60267520,nm0000440,Nina Hartley,249,1959,
60267521,nm0000441,Noah Hathaway,1108,1971,
60267522,nm0000442,Rutger Hauer,514,1944,2019
60267523,nm0000443,Goldie Hawn,1237,1945,
60267524,nm0000444,Glenne Headly,27,1955,2017
60267525,nm0000445,Dan Hedaya,1137,1940,
60267526,nm0000446,Mariel Hemingway,1237,1961,
60267527,nm0000447,Marilu Henner,462,1952,
60267528,nm0000448,Lance Henriksen,1108,1940,
60267529,nm0000449,Natasha Henstridge,1237,1974,
60267530,nm0000450,Philip Seymour Hoffman,961,1967,2014
60267531,nm0000451,Gaby Hoffmann,598,1982,
60267532,nm0000452,Lauren Holly,1237,1963,
60267533,nm0000453,Ian Holm,1337,1931,2020
60267534,nm0000454,Dennis Hopper,1195,1936,2010
60267535,nm0000455,John Hughes,51,1950,2009
60267536,nm0000456,Holly Hunter,1237,1958,
60267537,nm0000457,John Hurt,1137,1940,2017
60267538,nm0000458,William Hurt,38,1950,2022
60267539,nm0000459,Timothy Hutton,514,1960,
60267540,nm0000460,Jeremy Irons,961,1948,
60267541,nm0000461,Michael Ironside,1361,1950,
60267542,nm0000462,Kate Jackson,249,1948,
60267543,nm0000463,Famke Janssen,449,1964,
60267544,nm0000464,Jim Jarmusch,1195,1953,
60267545,nm0000465,Ron Jeremy,1195,1953,
60267546,nm0000466,Jean-Pierre Jeunet,51,1953,
60267547,nm0000467,Don Johnson,961,1949,
60267548,nm0000468,Lynn-Holly Johnson,417,1958,
60267549,nm0000469,James Earl Jones,1137,1931,
