time_key,time_value,hours_24,hours_12,hour_minutes,day_minutes,seconds
22600,02:26:00,02,02,26,146,00
22700,02:27:00,02,02,27,147,00
22800,02:28:00,02,02,28,148,00
22900,02:29:00,02,02,29,149,00
23000,02:30:00,02,02,30,150,00
23100,02:31:00,02,02,31,151,00
23200,02:32:00,02,02,32,152,00
23300,02:33:00,02,02,33,153,00
23400,02:34:00,02,02,34,154,00
23500,02:35:00,02,02,35,155,00
23600,02:36:00,02,02,36,156,00
23700,02:37:00,02,02,37,157,00
23800,02:38:00,02,02,38,158,00
23900,02:39:00,02,02,39,159,00
24000,02:40:00,02,02,40,160,00
24100,02:41:00,02,02,41,161,00
24200,02:42:00,02,02,42,162,00
24300,02:43:00,02,02,43,163,00
24400,02:44:00,02,02,44,164,00
24500,02:45:00,02,02,45,165,00
24600,02:46:00,02,02,46,166,00
24700,02:47:00,02,02,47,167,00
24800,02:48:00,02,02,48,168,00
24900,02:49:00,02,02,49,169,00
25000,02:50:00,02,02,50,170,00
25100,02:51:00,02,02,51,171,00
25200,02:52:00,02,02,52,172,00
25300,02:53:00,02,02,53,173,00
25400,02:54:00,02,02,54,174,00
25500,02:55:00,02,02,55,175,00
25600,02:56:00,02,02,56,176,00
25700,02:57:00,02,02,57,177,00
25800,02:58:00,02,02,58,178,00
25900,02:59:00,02,02,59,179,00
30000,03:00:00,03,03,00,180,00
30100,03:01:00,03,03,01,181,00
30200,03:02:00,03,03,02,182,00
30300,03:03:00,03,03,03,183,00
30400,03:04:00,03,03,04,184,00
30500,03:05:00,03,03,05,185,00
30600,03:06:00,03,03,06,186,00
30700,03:07:00,03,03,07,187,00
30800,03:08:00,03,03,08,188,00
30900,03:09:00,03,03,09,189,00
31000,03:10:00,03,03,10,190,00
31100,03:11:00,03,03,11,191,00
31200,03:12:00,03,03,12,192,00
31300,03:13:00,03,03,13,193,00
31400,03:14:00,03,03,14,194,00
31500,03:15:00,03,03,15,195,00
31600,03:16:00,03,03,16,196,00
31700,03:17:00,03,03,17,197,00
31800,03:18:00,03,03,18,198,00
31900,03:19:00,03,03,19,199,00
32000,03:20:00,03,03,20,200,00
32100,03:21:00,03,03,21,201,00
32200,03:22:00,03,03,22,202,00
32300,03:23:00,03,03,23,203,00
32400,03:24:00,03,03,24,204,00
32500,03:25:00,03,03,25,205,00
32600,03:26:00,03,03,26,206,00
32700,03:27:00,03,03,27,207,00
32800,03:28:00,03,03,28,208,00
32900,03:29:00,03,03,29,209,00
33000,03:30:00,03,03,30,210,00
33100,03:31:00,03,03,31,211,00
33200,03:32:00,03,03,32,212,00
33300,03:33:00,03,03,33,213,00
33400,03:34:00,03,03,34,214,00
33500,03:35:00,03,03,35,215,00
33600,03:36:00,03,03,36,216,00
33700,03:37:00,03,03,37,217,00
33800,03:38:00,03,03,38,218,00
33900,03:39:00,03,03,39,219,00
34000,03:40:00,03,03,40,220,00
34100,03:41:00,03,03,41,221,00
34200,03:42:00,03,03,42,222,00
34300,03:43:00,03,03,43,223,00
34400,03:44:00,03,03,44,224,00
34500,03:45:00,03,03,45,225,00
