2121,nm0012110
2122,nm0016964
2123,nm0022269
2124,nm0011005
2125,nm0022437
2126,nm0010293
2127,nm0016171|nm0031951
2128,nm0032402
2129,nm0024342
2130,nm0021798
2131,nm0025961
2132,nm0011854
2133,nm0029253
2134,nm0019870
2135,nm0014298
2136,nm0002179
2137,nm0023107
2138,nm0030742
2139,nm0027367
2140,nm0016025
2141,nm0008108
2142,nm0016236
2143,nm0026037
2144,nm0020140
2145,nm0017612
2146,nm0010460
2147,nm0010219
2148,nm0018331
2149,nm0032388
2150,nm0010962
2151,nm0005939|nm0009061|nm0014026|nm0016751|nm0016817
2152,nm0002568
2153,nm0028560
2154,nm0022218
2155,nm0016910
2156,nm0014680|nm0014689
2157,nm0012447
2158,nm0020488
2159,nm0021181
2160,nm0017488
2161,nm0027999
2162,nm0012481|nm0022148|nm0022239
2163,nm0004432
2164,nm0011226
2165,nm0022701
2166,nm0025312
2167,nm0020683|nm0030916
2168,nm0014218
2169,nm0027066
2170,nm0026670
2171,nm0016939
2172,nm0010524
2173,nm0017869
2174,nm0016190
2175,nm0013369
2176,nm0027821
2177,nm0032104
2178,nm0005869
2179,nm0012807
2180,nm0015793
2181,nm0020979
2182,nm0018447
2183,nm0010330|nm0016072
2184,nm0030860|nm0032391
2185,nm0017768
2186,nm0028206
2187,nm0017149
2188,nm0022842
2189,nm0017479
2190,nm0011115|nm0018273
2191,nm0020697
2192,nm0014364
2193,nm0002188
2194,nm0024830
2195,nm0006343
2196,nm0001067
2197,nm0030780
2198,nm0015366
2199,nm0017029|nm0017044
2200,nm0003377
2201,nm0028583
2202,nm0026823
2203,nm0007415|nm0007529
2204,nm0013412
2205,nm0020195
2206,nm0022920
2207,nm0005722
2208,nm0014762|nm0015668
2209,nm0021722
2210,nm0029786
2211,nm0005731|nm0019895|nm0023651
2212,nm0005650
2213,nm0024344
2214,nm0007542
2215,nm0029594
2216,nm0022511
2217,nm0012162
2218,nm0016817|nm0022011
2219,nm0025284
2220,nm0014363
2221,nm0030860
2222,nm0012373
2223,nm0028823
2224,nm0016744
2225,nm0004110
2226,nm0025187
2227,nm0005717
2228,nm0018440
2229,nm0005748
2230,nm0010468
2231,nm0011151
2232,nm0022728
2233,nm0000252|nm0006152|nm0020522|nm0027588
2234,nm0008121
2235,nm0014640|nm0030163
2236,nm0030653
2237,nm0027673
2238,nm0002590|nm0032356
2239,nm0006036|nm0014829
2240,nm0003348
2241,nm0016411|nm0017321|nm0025281
2242,nm0009766|nm0012159
2243,nm0018727
2244,nm0018616
2245,nm0031153
2246,nm0009409
2247,nm0011343
2248,nm0013149
2249,nm0025599
2250,nm0022011
2251,nm0018038
2252,nm0027612
2253,nm0024479
2254,nm0013827
2255,nm0029107
2256,nm0019268
2257,nm0029998
2258,nm0005864
2259,nm0019836
2260,nm0009023
2261,nm0028602
2262,nm0022250
2263,nm0005646|nm0016769
2264,nm0014563
2265,nm0028619
2266,nm0021442
2267,nm0016496
2268,nm0003540
2269,nm0032106
2270,nm0020764
2271,nm0032550
2272,nm0030773
2273,nm0010706
2274,nm0020306
2275,nm0017464|nm0018584|nm0022561
2276,nm0008611|nm0026730
2277,nm0025933
2278,nm0000875
2279,nm0017899
2280,nm0008561|nm0008562
2281,nm0005727
2282,nm0019935
2283,nm0027646
2284,nm0020866
2285,nm0011791
2286,nm0029664
2287,nm0030662
2288,nm0013810
2289,nm0031834
2290,nm0001908
2291,nm0007944
2292,nm0026639
2293,nm0023147
2294,nm0011782
2295,nm0020522
2296,nm0012168
2297,nm0025962
2298,nm0033161
2299,nm0005843
2300,nm0006308
2301,nm0026712
2302,nm0007606
2303,nm0012407|nm0019124
2304,nm0003579
2305,nm0008604
2306,nm0007387
2307,nm0007683
2308,nm0017691
2309,nm0019238
2310,nm0020664
2311,nm0016024
