movie_key,title,movieid,tconst,multiple_concatenate_genre_key,multiple_concatenate_professional_key,releasedate,averagerating,num_votes
39603,The Red Ace,,tt0008502,86710,3148,1917,2,23
39797,The Sea Master,,tt0008549,87047,3268,1917,6,16
39548,The Tiger Woman,,tt0008677,86664,2968,1917,5,14
39640,Tom and Jerry,,tt0008688,87826,2997,1917,8,140
39993,Vengeance - and the Woman,,tt0008730,87220,3026,1917,6,43
39373,The Weavers of Life,,tt0008753,86664,2378,1917,6,19
39899,Anna Karenina,,tt0008836,86664,3328,1918,5,40
39495,The Brass Bullet,,tt0008919,86710,2796,1918,6,25
40089,A Doll's House,,tt0009020,86664,2868,1918,7,22
39712,"Good Night, Nurse!",,tt0009123,87812,2587,1918,6,1291
39748,The House of Mirth,,tt0009205,86664,2530,1918,8,24
39599,The Knife,,tt0009267,87289,3154,1918,5,16
39665,The Lion's Claws,,tt0009304,86710,2327,1918,5,25
40049,Little Women,,tt0009309,87999,2883,1918,7,56
39576,Masks and Faces,,tt0009359,86648,2228,1917,5,36
39963,Nattliga toner,,tt0009420,87574,3119,1918,6,47
39575,No Place Like Jail,,tt0009430,87812,2224,1918,5,16
39660,Over the Top,,tt0009470,86519,2139,1918,6,20
39761,Queen of the Sea,,tt0009527,86279,2686,1918,7,24
39188,"Rich Man, Poor Man",,tt0009549,87574,2973,1918,7,21
39557,Riders of the Purple Sage,,tt0009552,87511,2342,1918,6,19
40175,A Romance of Happy Valley,,tt0009559,87574,2507,1919,6,432
40184,Rose-France,,tt0009568,86664,2738,1919,7,56
39333,Santa,,tt0009575,87952,2928,1918,7,27
39196,The Secret Code,,tt0009593,86519,3156,1918,7,17
40145,Thomas Graals bästa barn,,tt0009694,86648,3221,1918,6,112
39313,Tih Minh,,tt0009701,86331,2845,1918,7,460
39217,Les travailleurs de la mer,,tt0009720,87738,2245,1918,7,15
39938,The Unbeliever,,tt0009737,86519,2571,1918,6,144
39943,A 111-es,,tt0009857,87285,3049,1920,4,18
39182,The Carter Case,,tt0009991,87220,2558,1919,6,23
40027,Checkers,,tt0010002,86511,2324,1919,5,17
39802,The False Faces,,tt0010112,86519,3321,1919,6,113
40111,Hans nåds testamente,,tt0010206,86648,2422,1919,7,130
40015,The Haunted Bedroom,,tt0010215,87415,2665,1919,7,33
39286,Ingmarssönerna,,tt0010298,86664,3282,1919,7,176
39309,The Jungle Trail,,tt0010319,86779,2243,1919,2,22
40045,The Lost Battalion,,tt0010386,86519,3054,1919,6,142
39395,The Money Corral,,tt0010476,87220,2748,1919,6,30
39399,The Mother and the Law,,tt0010484,86664,2460,1919,7,236
39451,Never Say Quit,,tt0010505,87327,2324,1919,6,15
39387,Open Your Eyes,,tt0010532,86664,2633,1919,8,21
39504,A Rosa do Adro,,tt0010641,87574,3105,1919,7,36
39867,Sången om den eldröda blomman,,tt0010755,87574,2250,1919,7,285
39880,The Test of Honor,,tt0010766,86664,2264,1919,8,37
39372,The Tiger's Trail,,tt0010781,87641,3266,1919,3,23
39679,The Trail of the Octopus,,tt0010795,87247,2554,1919,7,44
